Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
180,8397.92,100955.04,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),AWS Route 53,Amazon Route 53,0,108.25,1299.00,USD,,"Hosted Zones (1), Additional Records in Hosted Zones (), Basic Checks Within AWS (1), Number of domains stored (1)"
My Estimate,US East (N. Virginia),CloudFront Distribution,Amazon CloudFront,0,150.75,1809.00,USD,,"Data transfer out to internet (100 GB per month), Data transfer out to origin (70 GB per month), Number of requests (HTTPS) (100 per month), Data transfer out to internet (100 GB per month), Data transfer out to origin (70 GB per month), Number of requests (HTTPS) (100 per month), Data transfer out to internet (100 GB per month), Number of requests (HTTPS) (100 per month), Data transfer out to origin (70 GB per month), Data transfer out to internet (100 GB per month), Data transfer out to origin (70 GB per month), Number of requests (HTTPS) (100 per month), Data transfer out to internet (100 GB per month), Data transfer out to origin (70 GB per month), Number of requests (HTTPS) (100 per month), Data transfer out to internet (100 GB per month), Data transfer out to origin (70 GB per month), Number of requests (HTTPS) (100 per month), Data transfer out to internet (100 GB per month), Number of requests (HTTPS) (100 per month), Data transfer out to origin (70 GB per month), Data transfer out to internet (100 GB per month), Data transfer out to origin (70 GB per month), Number of requests (HTTPS) (100 per month), Data transfer out to internet (100 GB per month), Data transfer out to origin (70 GB per month), Number of requests (HTTPS) (100 per month), Data transfer out to internet (100 GB per month), Number of requests (HTTPS) (100 per month), Data transfer out to origin (70 GB per month)"
My Estimate,US East (N. Virginia),AWS Cognito,Amazon Cognito,0,2574.25,30891.00,USD,,"Advanced security features (Enabled), Number of monthly active users (MAU) (50000)"
My Estimate,US East (N. Virginia),API Gateway,Amazon API Gateway,0,1015,12180.00,USD,,"REST API request units (millions), Cache memory size (GB) (None), WebSocket message units (millions), HTTP API requests units (millions), Average size of each request (34 KB), Requests (210 per month), Average message size (32 KB), Requests (230 per month), Messages ( per second)"
My Estimate,US East (N. Virginia),AWS Lambda,AWS Lambda,0,684.79,8217.48,USD,,"Invoke Mode (Buffered), Architecture (x86), Architecture (x86), Amount of ephemeral storage allocated (1 GB), Number of requests (200000000 per month)"
My Estimate,US East (N. Virginia),DynamoDB,DynamoDB on-demand capacity,0,2750,33000.00,USD,,"Table class (Standard), Average item size (all attributes) (400 KB), Data storage size (1000 GB)"
My Estimate,US East (N. Virginia),DynamoDB,DynamoDB provisioned capacity,180,51.13999999999999,793.68,USD,,"Table class (Standard), Average item size (all attributes) (1 KB), Write reserved capacity term (1 year), Read reserved capacity term (1 year), Data storage size (100 GB)"
My Estimate,US East (N. Virginia),DynamoDB,DynamoDB Accelerator (DAX) clusters,0,558.45,6701.40,USD,,DAX nodes ( 3 instances of type r5.large )
My Estimate,US East (N. Virginia),DynamoDB,DynamoDB Streams,0,0,0.00,USD,,Number of DynamoDB Streams GetRecord API requests (200 per month)
My Estimate,US East (N. Virginia),DynamoDB,DynamoDB Backup and restore,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),DynamoDB,DynamoDB change data capture,0,0.004,0.05,USD,,"Number of writes captured (200 per month), Average write size (200 KB)"
My Estimate,US East (N. Virginia),DynamoDB,DynamoDB Data export to Amazon S3,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),DynamoDB,DynamoDB Data Import from Amazon S3,0,1.5,18.00,USD,,Uncompressed source file size for Import from Amazon S3 (10 GB)
My Estimate,US East (N. Virginia),S3 Storage,S3 Standard,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),S3 Storage,S3 Intelligent - Tiering,0,2.32,27.84,USD,,"S3 INT Average Object Size (16 MB), Percentage of Storage in INT-Frequent Access Tier (1), S3 INT storage (100 GB per month)"
My Estimate,US East (N. Virginia),S3 Storage,S3 Standard - Infrequent Access,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),S3 Storage,S3 One Zone - Infrequent Access,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),S3 Storage,S3 Glacier Flexible Retrieval,0,0,0.00,USD,,"S3 Glacier Flexible Retrieval Average Object Size (16 MB), Provisioned Capacity Units (0), null (0)"
My Estimate,US East (N. Virginia),S3 Storage,S3 Glacier Deep Archive,0,0,0.00,USD,,S3 Glacier Deep Archive Average Object Size (16 MB)
My Estimate,US East (N. Virginia),S3 Storage,S3 Management and Insights,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),S3 Storage,S3 Object Lambda,0,501.469728,6017.64,USD,,"GET requests from S3 (200000000), Size of data returned by S3 Object Lambda (400 KB)"
My Estimate,US East (N. Virginia),S3 Storage,S3 Glacier Instant Retrieval,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),S3 Storage,Data Transfer,0,0,0.00,USD,,



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
